********************* June 01 Observing Session - beginning 02:19:51 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|Observed RA (deg)|Astrometry RA (deg)|Observed DEC (deg)| Astrometry DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1622513991|Jun 01 02:19:51|65|267.414895|267.419857|5.048318|5.054963|-99.509443|6.228976|27.325987369790312|107.707260281649710|52.397086|503.302400|503.836672
1622513993|Jun 01 02:19:53|66|267.424733|267.429696|5.048533|5.055158|-99.522893|6.222373|27.325052354901310|107.705952732010132|52.410067|22.576896|23.063040
1622513994|Jun 01 02:19:54|58|267.430155|267.435116|5.047703|5.054317|-99.522893|6.222373|27.323579673278935|107.705687730174247|52.410055|55.666688|56.250880
1622513996|Jun 01 02:19:56|60|267.436562|267.441526|5.049151|5.055752|-99.470504|6.220728|27.325988521244533|107.705980753825429|52.357628|79.279872|81.990400
1622513997|Jun 01 02:19:57|60|267.442534|267.447499|5.049341|5.055930|-99.506052|6.227149|27.324807930251922|107.704455505205530|52.392635|19.753216|20.187136
1622513999|Jun 01 02:19:59|61|267.448950|267.453916|5.049451|5.056026|-99.499390|6.228253|27.326298381956882|107.705845106490443|52.386439|20.826368|21.391616
1622514000|Jun 01 02:20:00|65|267.454119|267.459085|5.049640|5.056205|-99.507747|6.228066|27.325703853029729|107.704933133862284|52.394465|97.508608|98.000896
1622514002|Jun 01 02:20:02|58|267.460539|267.465506|5.049747|5.056300|-99.501084|6.229162|27.327190106626936|107.706321350178371|52.388269|44.703744|45.218304
1622514003|Jun 01 02:20:03|57|267.468210|267.473176|5.049253|5.055790|-99.470504|6.220728|27.324304477197565|107.704063992659954|52.356960|44.730880|53.841920
1622514005|Jun 01 02:20:05|63|267.474074|267.479038|5.048168|5.054692|-99.522893|6.222373|27.325384867457878|107.706860507708711|52.410414|44.330752|44.785408
1622514006|Jun 01 02:20:06|63|267.479204|267.484170|5.049041|5.055555|-99.522893|6.222373|27.325284270437329|107.705413789631976|52.409834|45.155328|45.638400
1622514008|Jun 01 02:20:08|60|267.485890|267.490855|5.048741|5.055242|-99.470504|6.220728|27.326299501730787|107.706936263716003|52.357996|43.704576|44.282624
1622514009|Jun 01 02:20:09|64|267.491467|267.496434|5.049375|5.055864|-99.522893|6.222373|27.325709901081275|107.705345638225751|52.409778|19.603712|20.266496
1622514011|Jun 01 02:20:11|58|267.498149|267.503116|5.049064|5.055539|-99.470504|6.220728|27.326719512949204|107.706879723539814|52.357946|42.528256|43.185664
1622514012|Jun 01 02:20:12|60|267.504277|267.509241|5.047781|5.054244|-99.546353|6.216502|27.324423633640436|107.706449376454813|52.433768|20.246528|20.855808
1622514014|Jun 01 02:20:14|62|267.510409|267.515376|5.049386|5.055837|-99.470504|6.220728|27.327139319080409|107.706823319482837|52.357896|20.091136|20.663040
1622514015|Jun 01 02:20:15|61|267.515780|267.520748|5.049590|5.056030|-99.507747|6.228066|27.326407425851151|107.705744786818130|52.394749|43.958272|44.422912
1622514017|Jun 01 02:20:17|62|267.522700|267.527667|5.049036|5.055461|-99.478852|6.220539|27.327077972525444|107.707297790742572|52.366440|19.436288|20.358656
1622514018|Jun 01 02:20:18|66|267.528547|267.533513|5.048672|5.055086|-99.522893|6.222373|27.325613214840118|107.706324148464091|52.410181|20.724736|21.326848
1622514020|Jun 01 02:20:20|57|267.535006|267.539971|5.048101|5.054502|-99.524589|6.223280|27.326609117304706|107.708242596912058|52.412591|19.283456|19.931904
1622514021|Jun 01 02:20:21|60|267.540810|267.545777|5.049006|5.055394|-99.522893|6.222373|27.326038041510593|107.706256577877113|52.410127|44.998144|45.843456
1622514022|Jun 01 02:20:22|64|267.547271|267.552237|5.048435|5.054810|-99.524589|6.223280|27.323983462089501|107.704985269569434|52.411440|23.110144|24.197888
1622514024|Jun 01 02:20:24|65|267.553104|267.558071|5.048670|5.055033|-99.531242|6.222183|27.325984928552700|107.706716567348678|52.418666|20.472832|21.204992
1622514025|Jun 01 02:20:25|60|267.558495|267.563462|5.048508|5.054860|-99.522893|6.222373|27.324989155181818|107.705924939721669|52.410060|18.677760|19.203840
1622514189|Jun 01 02:23:09|51|268.244839|268.249830|5.049602|5.054555|-99.577015|6.224923|27.324902241815600|107.704152474185094|52.463468|18.487808|19.030784
1622514191|Jun 01 02:23:11|48|268.251683|268.256677|5.050765|5.055705|-99.577015|6.224923|27.326797525744070|107.704346930131635|52.463424|18.105088|18.775552
1622514192|Jun 01 02:23:12|49|268.257108|268.262100|5.049934|5.054862|-99.577015|6.224923|27.325321293417737|107.704081552019815|52.463412|19.024896|19.671552
1622514194|Jun 01 02:23:14|51|268.263857|268.268851|5.050439|5.055353|-99.563616|6.231530|27.326838101189317|107.704891395783619|52.450244|20.112640|21.647616
1622514195|Jun 01 02:23:15|54|268.269377|268.274371|5.050265|5.055168|-99.577015|6.224923|27.325740188579836|107.704010820160534|52.463356|19.883264|23.072256
1622514197|Jun 01 02:23:17|55|268.275947|268.280940|5.049714|5.054604|-99.578720|6.225827|27.326668775208638|107.705827668084723|52.465738|19.276544|19.809024
1622514198|Jun 01 02:23:18|55|268.281646|268.286641|5.050596|5.055474|-99.577015|6.224923|27.326158928093122|107.703940279505332|52.463301|43.494144|44.011520
1622514200|Jun 01 02:23:20|54|268.287164|268.292158|5.050246|5.055113|-99.631181|6.227467|27.327992542846872|107.706393917521282|52.518343|18.693120|19.254528
1622514201|Jun 01 02:23:21|53|268.294407|268.299402|5.050831|5.055683|-99.553553|6.230809|27.326153639644197|107.703573225618442|52.439690|19.558400|20.201728
1622514202|Jun 01 02:23:22|53|268.300000|268.304995|5.050597|5.055438|-99.629468|6.226558|27.324961718437919|107.702686153170134|52.515323|18.727680|19.467776
1622514204|Jun 01 02:23:24|50|268.306476|268.311469|5.049552|5.054380|-99.577015|6.224923|27.325623064048678|107.704982680037759|52.463758|18.258688|19.043072
1622514205|Jun 01 02:23:25|48|268.311609|268.316604|5.050424|5.055241|-99.577015|6.224923|27.325519467524401|107.703534841970210|52.463178|18.855680|19.549952
1622514207|Jun 01 02:23:27|49|268.318745|268.323739|5.049883|5.054685|-99.577015|6.224923|27.326041360798570|107.704912749860725|52.463703|42.178304|42.685696
1622514208|Jun 01 02:23:28|51|268.324162|268.329156|5.049606|5.054397|-99.568664|6.225104|27.324948930292095|107.704195321452659|52.455131|19.766272|21.035520
1622514210|Jun 01 02:23:30|57|268.329971|268.334967|5.050452|5.055232|-99.629468|6.226558|27.327383858437280|107.705440933200578|52.516283|18.911232|19.382528
1622514211|Jun 01 02:23:31|56|268.336438|268.341433|5.049380|5.054146|-99.577015|6.224923|27.324982928372485|107.704578276257308|52.463636|19.462656|26.172416
1622514213|Jun 01 02:23:33|53|268.341687|268.346684|5.050786|5.055542|-99.631181|6.227467|27.328208284064921|107.705790231455367|52.518084|45.200128|46.498560
1622514214|Jun 01 02:23:34|65|268.348707|268.353703|5.049710|5.054451|-99.577015|6.224923|27.325400867219884|107.704508836496231|52.463580|20.510208|21.487104
1622514216|Jun 01 02:23:36|53|268.354246|268.359242|5.049974|5.054704|-99.622828|6.227649|27.327637237003572|107.706440231275494|52.510032|44.515072|45.387520
1622514217|Jun 01 02:23:37|52|268.360976|268.365973|5.050039|5.054755|-99.577015|6.224923|27.325818655617326|107.704439593635286|52.463525|43.718144|44.265472
1622514219|Jun 01 02:23:39|53|268.366947|268.371943|5.049762|5.054466|-99.566961|6.224192|27.327371305791395|107.706488643142876|52.454202|19.582464|20.520960
1622514220|Jun 01 02:23:40|53|268.373251|268.378248|5.049819|5.054510|-99.585366|6.224733|27.325857873098691|107.704819277791088|52.472027|44.622848|45.058816
1622514221|Jun 01 02:23:41|52|268.378807|268.383803|5.049555|5.054235|-99.639533|6.227277|27.324672999986795|107.703984839755279|52.525933|19.016192|19.507968
1622514223|Jun 01 02:23:43|56|268.385806|268.390801|5.048993|5.053658|-99.577015|6.224923|27.325281020019567|107.705484762511475|52.463984|43.730176|44.265984
1622514224|Jun 01 02:23:44|53|268.391075|268.396073|5.050445|5.055100|-99.631181|6.227467|27.325473227942943|107.703455005527488|52.517314|19.047680|19.908352
1622514226|Jun 01 02:23:46|61|268.398378|268.403376|5.050342|5.054982|-99.561912|6.230623|27.326171300069362|107.704342951371416|52.448361|20.849152|23.015680
1622514227|Jun 01 02:23:47|53|268.403208|268.408206|5.050193|5.054823|-99.577015|6.224923|27.325594264795377|107.703968873459075|52.463349|19.096320|19.607808
1622514229|Jun 01 02:23:49|57|268.409322|268.414320|5.049962|5.054580|-99.629468|6.226558|27.327073582649128|107.705869692924225|52.516477|20.057856|21.422080
1622514230|Jun 01 02:23:50|54|268.415477|268.420476|5.050521|5.055126|-99.577015|6.224923|27.326011407531134|107.703900529123928|52.463294|43.953152|44.421376
1622514232|Jun 01 02:23:52|57|268.422612|268.427611|5.049978|5.054569|-99.577015|6.224923|27.326532664265287|107.705279517939232|52.463820|20.226304|21.052672
1622514233|Jun 01 02:23:53|54|268.427420|268.432417|5.049296|5.053876|-99.600433|6.219044|27.325608731036468|107.705361837522588|52.487331|18.916608|19.753984
1622514235|Jun 01 02:23:55|61|268.434881|268.439881|5.050306|5.054872|-99.577015|6.224923|27.326949586702050|107.705211506360754|52.463765|20.197632|20.796160
1622514236|Jun 01 02:23:56|57|268.440306|268.445304|5.049473|5.054027|-99.577015|6.224923|27.325472579506481|107.704947627330640|52.463754|19.494912|20.053248
1622514237|Jun 01 02:23:57|55|268.445597|268.450598|5.050976|5.055519|-99.631181|6.227467|27.325683595934422|107.702859052236875|52.517059|18.898688|19.452160
1622514239|Jun 01 02:23:59|57|268.452575|268.457574|5.049800|5.054330|-99.577015|6.224923|27.325889306497466|107.704879921880647|52.463699|19.315968|19.817728
1622514240|Jun 01 02:24:00|53|268.457711|268.462711|5.050134|5.054653|-99.585366|6.224733|27.325416759767350|107.703873662303778|52.471672|19.564288|20.194816
1622514242|Jun 01 02:24:02|53|268.464844|268.469843|5.050128|5.054632|-99.577015|6.224923|27.326305889826280|107.704812420819835|52.463645|41.914624|42.953216
1622514243|Jun 01 02:24:03|56|268.470268|268.475266|5.049294|5.053787|-99.577015|6.224923|27.324828763861746|107.704548801397664|52.463634|21.081344|23.477504
1622514245|Jun 01 02:24:05|55|268.477286|268.482287|5.050583|5.055061|-99.639533|6.227277|27.326682457839858|107.704507657947502|52.526015|46.455040|46.947840
1622514246|Jun 01 02:24:06|49|268.483246|268.488246|5.050291|5.054758|-99.629468|6.226558|27.325183807624249|107.703388228815740|52.515593|17.871360|19.073536
1622514248|Jun 01 02:24:08|52|268.489055|268.494058|5.050993|5.055448|-99.606049|6.232449|27.327519572032621|107.704752862059166|52.492577|24.249088|31.346944
1622514249|Jun 01 02:24:09|53|268.494984|268.499985|5.050627|5.055070|-99.631181|6.227467|27.325993295145771|107.703719145675691|52.517388|23.367936|24.768256
1622514251|Jun 01 02:24:11|54|268.501941|268.506941|5.049404|5.053833|-99.577015|6.224923|27.326182200839924|107.705794459324679|52.464051|44.922880|45.694208
1622514252|Jun 01 02:24:12|55|268.507076|268.512076|5.049745|5.054163|-99.585366|6.224733|27.325715362352128|107.704783726162731|52.472022|21.163264|23.117568
1622514254|Jun 01 02:24:14|51|268.514210|268.519210|5.049731|5.054135|-99.577015|6.224923|27.326598238001324|107.705727815505767|52.463997|19.674624|20.402432
1622514255|Jun 01 02:24:15|52|268.519117|268.524119|5.050313|5.054707|-99.646212|6.221767|27.326462696224169|107.704691225244815|52.532783|19.036672|19.870208
1622514257|Jun 01 02:24:17|50|268.526478|268.531480|5.050057|5.054436|-99.577015|6.224923|27.327014135533659|107.705661380513646|52.463943|19.709696|26.350336
1622514258|Jun 01 02:24:18|48|268.531379|268.536382|5.050654|5.055023|-99.646212|6.221767|27.326893293133274|107.704617890799597|52.532725|10.252032|11.175168
1622514259|Jun 01 02:24:19|50|268.538219|268.543222|5.050382|5.054737|-99.578720|6.225827|27.324764619897309|107.702810672059925|52.464637|19.069952|20.180992
1622514261|Jun 01 02:24:21|54|268.544171|268.549173|5.049549|5.053891|-99.577015|6.224923|27.325952484496263|107.705332160095921|52.463879|20.667904|31.394560
1622514262|Jun 01 02:24:22|44|268.549504|268.554509|5.051149|5.055481|-99.631181|6.227467|27.326198560666036|107.703131188558828|52.517136|18.418176|19.010048
1622514264|Jun 01 02:24:24|49|268.556440|268.561442|5.049875|5.054192|-99.577015|6.224923|27.326368057792237|107.705266251403287|52.463825|22.898176|23.957504
1622514265|Jun 01 02:24:25|51|268.562306|268.567309|5.050057|5.054362|-99.593795|6.220131|27.325259770310076|107.703828010814391|52.480094|19.733248|20.403968
1622514267|Jun 01 02:24:27|51|268.568709|268.573712|5.050200|5.054493|-99.577015|6.224923|27.326783494218930|107.705200554584223|52.463771|21.145600|33.493248
1622514268|Jun 01 02:24:28|51|268.574866|268.579869|5.050119|5.054399|-99.629468|6.226558|27.325283612603030|107.703757121557430|52.515736|18.117632|18.652160
1622514270|Jun 01 02:24:30|49|268.580977|268.585981|5.050526|5.054793|-99.577015|6.224923|27.327198794565454|107.705135070531128|52.463718|22.448896|23.757568
1622514271|Jun 01 02:24:31|46|268.586617|268.591621|5.050456|5.054712|-99.631181|6.227467|27.326084215662021|107.704077136424544|52.517527|41.729024|42.379008
1622514273|Jun 01 02:24:33|47|268.592764|268.597767|5.049881|5.054125|-99.592090|6.219229|27.327306003145978|107.706236653710690|52.479233|43.889408|44.658688
1622514274|Jun 01 02:24:34|50|268.598890|268.603896|5.050792|5.055023|-99.631181|6.227467|27.326503846945222|107.703998737235636|52.517468|19.058688|19.536384
1622514275|Jun 01 02:24:35|51|268.605020|268.610024|5.049694|5.053912|-99.600433|6.219044|27.324331901887327|107.703415084516877|52.486624|20.350976|21.018624
1622514277|Jun 01 02:24:37|50|268.610938|268.615943|5.050341|5.054547|-99.577015|6.224923|27.326551331684009|107.704742337371670|52.463601|18.759424|19.265792
1622514278|Jun 01 02:24:38|47|268.616591|268.621596|5.050299|5.054493|-99.631181|6.227467|27.325446714565231|107.703651981568612|52.517396|19.153920|19.742208
1622514280|Jun 01 02:24:40|48|268.623498|268.628500|5.048961|5.053141|-99.577015|6.224923|27.325593792718493|107.705861148749690|52.464116|18.684672|19.179776
1622514281|Jun 01 02:24:41|49|268.628864|268.633870|5.050635|5.054804|-99.631181|6.227467|27.325866032247980|107.703574120967332|52.517337|18.979584|19.596544
1622514283|Jun 01 02:24:43|48|268.634954|268.639959|5.050031|5.054188|-99.592090|6.219229|27.327108666901260|107.705800433326132|52.479069|20.278528|21.638656
1622514284|Jun 01 02:24:44|46|268.641137|268.646144|5.050970|5.055115|-99.631181|6.227467|27.326285217342111|107.703496477282215|52.517278|20.006144|21.939456
1622514286|Jun 01 02:24:46|45|268.648034|268.653039|5.049609|5.053739|-99.577015|6.224923|27.326423141716901|107.705732395214596|52.464011|17.824256|18.369792
1622514287|Jun 01 02:24:47|44|268.653410|268.658418|5.051306|5.055426|-99.631181|6.227467|27.326704270640192|107.703419051411032|52.517220|17.999360|18.524928
1622514288|Jun 01 02:24:48|51|268.658837|268.663843|5.050476|5.054584|-99.631181|6.227467|27.325227491648796|107.703150861288719|52.517207|19.651840|28.830720
1622514290|Jun 01 02:24:50|50|268.665435|268.670443|5.050802|5.054897|-99.577015|6.224923|27.326732093799606|107.704222793385725|52.463378|18.777600|19.272192
1622514291|Jun 01 02:24:51|45|268.671618|268.676625|5.050808|5.054891|-99.629468|6.226558|27.325273755664732|107.702688435811339|52.515303|17.714944|26.878208
1622514293|Jun 01 02:24:53|48|268.677700|268.682708|5.050620|5.054690|-99.585366|6.224733|27.326805057713855|107.704578670403649|52.471869|18.926592|19.640064
1622514294|Jun 01 02:24:54|47|268.683382|268.688391|5.051146|5.055204|-99.631181|6.227467|27.326065118497105|107.702996885687654|52.517090|19.959808|20.506880
1622514296|Jun 01 02:24:56|45|268.690263|268.695269|5.049744|5.053788|-99.577015|6.224923|27.326188255543592|107.705279202537298|52.463842|18.148608|19.048960
1622514297|Jun 01 02:24:57|46|268.695652|268.700660|5.050978|5.055011|-99.639533|6.227277|27.326144144232202|107.703337878427973|52.525576|19.386624|22.283264
1622514299|Jun 01 02:24:59|48|268.702531|268.707538|5.050067|5.054086|-99.577015|6.224923|27.326602302719792|107.705215923853658|52.463789|18.875904|21.054464
1622514300|Jun 01 02:25:00|47|268.707074|268.712080|5.049496|5.053506|-99.600433|6.219044|27.325947855110250|107.705408251909915|52.487327|42.223360|42.692608
1622514301|Jun 01 02:25:01|49|268.713857|268.718866|5.050980|5.054977|-99.629468|6.226558|27.325056254298154|107.702196566298227|52.515118|43.372032|49.176832
1622514303|Jun 01 02:25:03|47|268.720493|268.725502|5.050445|5.054427|-99.631181|6.227467|27.325946823956762|107.703950364917077|52.517484|18.003200|18.479360
1622514304|Jun 01 02:25:04|51|268.725628|268.730638|5.051319|5.055291|-99.631181|6.227467|27.325843583832558|107.702499997634732|52.516903|18.964480|19.432448
1622514306|Jun 01 02:25:06|46|268.732491|268.737499|5.049876|5.053835|-99.577015|6.224923|27.325951944638064|107.704828719207057|52.463674|20.270080|20.812032
1622514307|Jun 01 02:25:07|48|268.737282|268.742291|5.050224|5.054172|-99.654557|6.221581|27.325740520429960|107.704074262961910|52.540924|18.997760|19.486208
1622514309|Jun 01 02:25:09|40|268.743825|268.748835|5.050816|5.054752|-99.629468|6.226558|27.327467719824497|107.704969328996938|52.516086|17.883648|19.345408
1622514310|Jun 01 02:25:10|48|268.751092|268.756103|5.051211|5.055131|-99.616122|6.233175|27.325481495507454|107.702286814079997|52.501781|45.697536|46.228992
1622514312|Jun 01 02:25:12|48|268.757311|268.762323|5.051446|5.055354|-99.631181|6.227467|27.327201224482359|107.703723162413340|52.517311|20.487936|21.070592
1622514313|Jun 01 02:25:13|47|268.762738|268.767748|5.050615|5.054512|-99.631181|6.227467|27.325724100031948|107.703455909591895|52.517298|17.870592|18.365440
1622514315|Jun 01 02:25:15|41|268.768366|268.773378|5.051483|5.055368|-99.629468|6.226558|27.328305682162565|107.704821905829704|52.515972|17.960960|19.229696
1622514316|Jun 01 02:25:16|45|268.775011|268.780022|5.050948|5.054820|-99.631181|6.227467|27.326141943379298|107.703380738978197|52.517241|18.492672|19.086848
1622514317|Jun 01 02:25:17|49|268.779978|268.784989|5.050404|5.054265|-99.652842|6.220675|27.325195232356755|107.703226931306062|52.538901|18.386688|18.965248
1622514319|Jun 01 02:25:19|49|268.787283|268.792295|5.051281|5.055128|-99.631181|6.227467|27.326559663690276|107.703305795814558|52.517183|19.579136|20.111360
1622514320|Jun 01 02:25:20|49|268.793200|268.798211|5.050443|5.054278|-99.629468|6.226558|27.324720320608463|107.702670088927604|52.515332|18.513152|19.391232
1622514322|Jun 01 02:25:22|48|268.798583|268.803593|5.049734|5.053557|-99.592090|6.219229|27.326407226759656|107.705523731566899|52.479002|19.174912|19.714560
1622514323|Jun 01 02:25:23|49|268.805471|268.810482|5.050776|5.054585|-99.629468|6.226558|27.325138892805874|107.702597196713910|52.515275|18.491392|20.649472
1622514325|Jun 01 02:25:25|48|268.811203|268.816216|5.050921|5.054719|-99.683669|6.229100|27.327152542852218|107.704479343255386|52.570109|27.113472|27.697664
1622514326|Jun 01 02:25:26|49|268.817254|268.822267|5.051115|5.054900|-99.631181|6.227467|27.325917440648531|107.702889851461393|52.517056|19.997696|20.542720
1622514328|Jun 01 02:25:28|43|268.823593|268.828603|5.049593|5.053365|-99.578720|6.225827|27.326353977812403|107.705684354790847|52.465700|18.847488|19.365120
1622514329|Jun 01 02:25:29|48|268.829212|268.834224|5.050454|5.054215|-99.577015|6.224923|27.325887995341930|107.703875116701184|52.463292|20.524288|21.328384
1622514330|Jun 01 02:25:30|43|268.835437|268.840450|5.050608|5.054356|-99.629468|6.226558|27.324498892924318|107.702186195005652|52.515150|18.311168|18.871808
1622514332|Jun 01 02:25:32|47|268.839863|268.844876|5.050575|5.054314|-99.644499|6.220860|27.327345115209631|107.705212386341898|52.531224|19.049984|20.097280
1622514333|Jun 01 02:25:33|48|268.847225|268.852239|5.050947|5.054672|-99.631181|6.227467|27.325274567456113|107.702475341686736|52.516930|19.698944|20.242688
1622514335|Jun 01 02:25:35|48|268.852437|268.857451|5.051445|5.055159|-99.707002|6.223210|27.327908525702981|107.704464662180357|52.593387|17.472256|17.929472
1622514336|Jun 01 02:25:36|50|268.859498|268.864512|5.051279|5.054978|-99.631181|6.227467|27.325691608248924|107.702401778633572|52.516873|18.647808|19.163392
1622514338|Jun 01 02:25:38|47|268.864508|268.869523|5.051643|5.055332|-99.673596|6.228368|27.328381673637097|107.704654652471191|52.560028|19.915264|20.560128
1622514339|Jun 01 02:25:39|51|268.871491|268.876505|5.050546|5.054221|-99.590591|6.222379|27.325587130284397|107.703418856715857|52.476702|19.212800|20.789504
1622514341|Jun 01 02:25:41|49|268.877355|268.882369|5.050702|5.054364|-99.615272|6.224652|27.327512433258875|107.705192314025851|52.501978|26.659584|27.268864
1622514342|Jun 01 02:25:42|48|268.883096|268.888110|5.050636|5.054287|-99.633153|6.224247|27.326326791926725|107.704053282249845|52.519474|29.154048|30.496768
1622514344|Jun 01 02:25:44|46|268.889227|268.894242|5.051069|5.054707|-99.612231|6.226935|27.328245700682722|107.705395024076026|52.498972|23.149568|23.668736
1622514345|Jun 01 02:25:45|45|268.896397|268.901412|5.050921|5.054545|-99.591226|6.226601|27.325960950132021|107.703233523881522|52.477238|24.325120|26.523392
1622514346|Jun 01 02:25:46|43|268.901441|268.906455|5.050371|5.053984|-99.590591|6.222379|27.324954409338964|107.703026418685383|52.476584|22.580992|32.006912
1622514348|Jun 01 02:25:48|49|268.907599|268.912615|5.050924|5.054525|-99.654153|6.224580|27.326935295296309|107.704247513718528|52.540513|22.952960|23.684352
1622514349|Jun 01 02:25:49|47|268.913674|268.918688|5.050313|5.053902|-99.611582|6.222710|27.325135722611584|107.703304237430885|52.497677|47.719424|48.682496
1622514351|Jun 01 02:25:51|43|268.920910|268.925927|5.051195|5.054769|-99.612231|6.226935|27.326553041962512|107.703431311217372|52.498285|39.015168|39.502848
1622514352|Jun 01 02:25:52|47|268.926321|268.931336|5.050615|5.054178|-99.614622|6.220431|27.325258908758357|107.702969195757404|52.500572|21.758720|32.519936
1622514354|Jun 01 02:25:54|45|268.933183|268.938200|5.051528|5.055077|-99.612231|6.226935|27.326970537763600|107.703356462131524|52.498228|22.316288|24.056320
1622514355|Jun 01 02:25:55|44|268.938580|268.943597|5.050948|5.054486|-99.614622|6.220431|27.325685831360282|107.702904108223635|52.500518|38.392064|38.915840
1622514357|Jun 01 02:25:57|47|268.945082|268.950097|5.050402|5.053927|-99.551723|6.222448|27.326667985131017|107.704769197767646|52.438312|39.176704|39.740672
1622514358|Jun 01 02:25:58|44|268.950788|268.955802|5.049979|5.053492|-99.590591|6.222379|27.325264952698596|107.703952767928271|52.476940|21.212928|21.711360
1622514360|Jun 01 02:26:00|44|268.956290|268.961307|5.050820|5.054322|-99.593638|6.220101|27.327920063287046|107.705436402765216|52.480416|23.276288|23.797248
1622514361|Jun 01 02:26:01|50|268.963154|268.968172|5.051361|5.054849|-99.612231|6.226935|27.326327765943901|107.702940740775531|52.498101|42.261504|42.752512
1622514363|Jun 01 02:26:03|48|268.967785|268.972803|5.050839|5.054318|-99.608541|6.224985|27.328691392659167|107.706213539887031|52.495585|39.128576|39.682304
1622514364|Jun 01 02:26:04|45|268.973843|268.978860|5.050770|5.054235|-99.498587|6.216594|27.327272070831214|107.704836789601444|52.385164|626.397440|626.913024
1622514366|Jun 01 02:26:06|42|268.983763|268.988780|5.050220|5.053665|-99.526772|6.223052|27.325756134143248|107.704096889028662|52.413147|161.713408|162.228480
1622514368|Jun 01 02:26:08|44|268.989237|268.994252|5.049893|5.053327|-99.537159|6.224390|27.327637850858807|107.706566467176373|52.424414|69.385984|69.849600
1622514369|Jun 01 02:26:09|39|268.996106|269.001123|5.050568|5.053989|-99.554674|6.217171|27.326133396687005|107.703955332468084|52.440968|320.574976|321.077504
1622514371|Jun 01 02:26:11|45|269.003216|269.008233|5.050502|5.053908|-99.537159|6.224390|27.326997738094597|107.704961237226257|52.423804|125.405696|125.897984
1622514372|Jun 01 02:26:12|44|269.010782|269.015802|5.051518|5.054908|-99.633465|6.217928|27.325216091353830|107.701537603434247|52.518837|568.316672|569.000448
1622514374|Jun 01 02:26:14|46|269.018905|269.023924|5.050925|5.054299|-99.554674|6.217171|27.324983520384215|107.702204719741474|52.440332|204.748288|205.283072
1622514376|Jun 01 02:26:16|47|269.025983|269.031001|5.050335|5.053694|-99.526772|6.223052|27.325514414895409|107.703667317482953|52.412989|154.499584|154.998784
1622514378|Jun 01 02:26:18|49|269.032705|269.037723|5.050322|5.053667|-99.603723|6.226291|27.326698321436702|107.704925112221758|52.490374|549.161216|549.685760
1622514380|Jun 01 02:26:20|47|269.040311|269.045328|5.049756|5.053086|-99.537159|6.224390|27.326860906301121|107.705963841915548|52.424220|118.868480|119.388160
1622514381|Jun 01 02:26:21|44|269.045356|269.050375|5.050188|5.053508|-99.500536|6.214143|27.326521818882249|107.704945369608922|52.387206|268.382976|269.844480
1622514383|Jun 01 02:26:23|44|269.054290|269.059309|5.050364|5.053666|-99.537159|6.224390|27.326220102492826|107.704359591332988|52.423610|638.127360|640.168192
1622514385|Jun 01 02:26:25|47|269.062793|269.067814|5.051348|5.054632|-99.554674|6.217171|27.326782287801173|107.703436312930506|52.440715|261.368832|261.835008
1622514387|Jun 01 02:26:27|43|269.069920|269.074940|5.050802|5.054072|-99.554674|6.217171|27.327308440236450|107.704824494130108|52.441244|120.417792|121.138432
1622514388|Jun 01 02:26:28|43|269.075337|269.080356|5.049968|5.053226|-99.554674|6.217171|27.325835732339876|107.704567263014027|52.441235|568.978176|569.557760
1622514390|Jun 01 02:26:30|41|269.084250|269.089269|5.050164|5.053405|-99.537159|6.224390|27.325563419877710|107.703980379909567|52.423499|126.534144|138.326528
1622514392|Jun 01 02:26:32|45|269.091009|269.096030|5.050868|5.054094|-99.554674|6.217171|27.327207635152305|107.704618789721110|52.441167|141.820160|142.338304
1622514393|Jun 01 02:26:33|47|269.097603|269.102624|5.050395|5.053609|-99.566980|6.216040|27.325122724302354|107.703164340032941|52.453018|350.349568|351.113472
1622514395|Jun 01 02:26:35|50|269.104101|269.109120|5.049834|5.053034|-99.470634|6.222480|27.326096946778193|107.705045510018792|52.357372|592.132608|593.499136
1622514397|Jun 01 02:26:37|45|269.115474|269.120495|5.050365|5.053542|-99.603723|6.226291|27.324256319093159|107.702305455988352|52.489469|129.198336|130.087168
1622514399|Jun 01 02:26:39|48|269.120900|269.125919|5.049533|5.052699|-99.603723|6.226291|27.325828850944767|107.705227285919179|52.490553|203.509504|206.635264
1622514400|Jun 01 02:26:40|49|269.126351|269.131371|5.049840|5.052995|-99.554674|6.217171|27.325108761419713|107.704003126519794|52.441053|299.633152|300.290304
